      sideways: 76 days (25.2%)
      downtrend: 23 days (7.6%)
      volatile: 14 days (4.7%)
   Regime distribution:
   Regime distribution:
      uptrend: 134 days (44.5%)
      sideways: 102 days (33.9%)
      downtrend: 57 days (18.9%)
      volatile: 8 days (2.7%)
   Regime distribution:
   Regime distribution:
      uptrend: 151 days (50.2%)
      sideways: 114 days (37.9%)
      downtrend: 36 days (12.0%)
   Regime distribution:
   Regime distribution:
      sideways: 111 days (36.9%)
      uptrend: 84 days (27.9%)
      downtrend: 75 days (24.9%)
      volatile: 31 days (10.3%)
   Regime distribution:
   Regime distribution:
      uptrend: 113 days (37.5%)
      sideways: 112 days (37.2%)
      downtrend: 76 days (25.2%)
   Regime distribution:
   Regime distribution:
      uptrend: 124 days (41.2%)
      sideways: 103 days (34.2%)
      downtrend: 47 days (15.6%)
      volatile: 27 days (9.0%)
   Regime distribution:
   Regime distribution:
      downtrend: 106 days (35.2%)
      sideways: 99 days (32.9%)
      uptrend: 57 days (18.9%)
      volatile: 39 days (13.0%)
   Regime distribution:
   Regime distribution:
      uptrend: 189 days (62.8%)
      sideways: 85 days (28.2%)
      downtrend: 20 days (6.6%)
      volatile: 7 days (2.3%)
   Regime distribution:
   Regime distribution:
      uptrend: 165 days (54.8%)
      sideways: 93 days (30.9%)
      downtrend: 33 days (11.0%)
      volatile: 10 days (3.3%)
   Regime distribution:
   Regime distribution:
      uptrend: 186 days (61.8%)
      sideways: 99 days (32.9%)
      downtrend: 16 days (5.3%)
   Regime distribution:
   Regime distribution:
      uptrend: 195 days (64.8%)
      sideways: 86 days (28.6%)
      downtrend: 20 days (6.6%)
   Regime distribution:
   Regime distribution:
      uptrend: 154 days (51.2%)
      sideways: 105 days (34.9%)
      downtrend: 39 days (13.0%)
      volatile: 3 days (1.0%)
   Regime distribution:
   Regime distribution:
      downtrend: 136 days (45.2%)
      sideways: 118 days (39.2%)
      uptrend: 47 days (15.6%)
   Regime distribution:
   Regime distribution:
      uptrend: 194 days (64.5%)
      sideways: 83 days (27.6%)
      downtrend: 24 days (8.0%)
   Regime distribution:
   Regime distribution:
      uptrend: 165 days (54.8%)
      sideways: 98 days (32.6%)
      downtrend: 35 days (11.6%)
      volatile: 3 days (1.0%)
   Regime distribution:
   Regime distribution:
      uptrend: 195 days (64.8%)
      sideways: 76 days (25.2%)
      downtrend: 24 days (8.0%)
      volatile: 6 days (2.0%)
   Regime distribution:
   Regime distribution:
      uptrend: 199 days (66.1%)
      sideways: 78 days (25.9%)
      downtrend: 24 days (8.0%)
   Regime distribution:
   Regime distribution:
      uptrend: 166 days (55.1%)
      sideways: 105 days (34.9%)
      downtrend: 22 days (7.3%)
      volatile: 8 days (2.7%)
   Regime distribution:
   Regime distribution:
      downtrend: 105 days (34.9%)
      sideways: 104 days (34.6%)
      uptrend: 71 days (23.6%)
      volatile: 21 days (7.0%)
   Regime distribution:
   Regime distribution:
      uptrend: 115 days (38.2%)
      sideways: 110 days (36.5%)
      downtrend: 70 days (23.3%)
      volatile: 6 days (2.0%)
   Regime distribution:
   Regime distribution:
      sideways: 109 days (36.2%)
      uptrend: 97 days (32.2%)
      downtrend: 54 days (17.9%)
      volatile: 41 days (13.6%)
   Regime distribution:
   Regime distribution:
      uptrend: 178 days (59.1%)
      sideways: 91 days (30.2%)
      downtrend: 24 days (8.0%)
      volatile: 8 days (2.7%)
   Regime distribution:
   Regime distribution:
      uptrend: 192 days (63.8%)
      sideways: 94 days (31.2%)
      downtrend: 9 days (3.0%)
      volatile: 6 days (2.0%)
   Regime distribution:
   Regime distribution:
      downtrend: 122 days (40.5%)
      sideways: 93 days (30.9%)20:58:18 | INFO | Generated 74 features
20:58:18 | INFO | Regime detection complete
20:58:18 | INFO | Generated 74 features
20:58:18 | INFO | Regime detection complete
20:58:18 | INFO | Generated 74 features
20:58:18 | INFO | Regime detection complete
20:58:18 | INFO | Generated 74 features
20:58:18 | INFO | Regime detection complete
20:58:18 | INFO | Generated 74 features
20:58:18 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:19 | INFO | Generated 74 features
20:58:19 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:20 | INFO | Generated 74 features
20:58:20 | INFO | Regime detection complete
20:58:21 | INFO | Generated 74 features
20:58:21 | INFO | Regime detection complete
20:58:21 | ERROR | No stock data fetched — aborting stock scan
20:58:28 | INFO | Generated 74 features
20:58:28 | INFO | Regime detection complete
20:58:28 | INFO | Training ensemble on 107 samples
20:58:29 | INFO | CatBoost model trained successfully
20:58:30 | INFO | LSTM training complete. Final loss: 0.4332
20:58:30 | INFO | LSTM model added to ensemble
20:58:30 | INFO | Ensemble training complete (5 models)
20:58:30 | INFO | Generated 74 features
20:58:30 | INFO | Regime detection complete
20:58:30 | INFO | Training ensemble on 107 samples
20:58:32 | INFO | CatBoost model trained successfully
20:58:32 | INFO | LSTM training complete. Final loss: 0.4330
20:58:32 | INFO | LSTM model added to ensemble
20:58:32 | INFO | Ensemble training complete (5 models)
20:58:32 | INFO | Generated 74 features
20:58:32 | INFO | Regime detection complete
20:58:32 | INFO | Training ensemble on 107 samples
20:58:33 | INFO | CatBoost model trained successfully
20:58:34 | INFO | LSTM training complete. Final loss: 0.4362
20:58:34 | INFO | LSTM model added to ensemble
20:58:34 | INFO | Ensemble training complete (5 models)
20:58:34 | INFO | Crypto scan complete: 1 signals in 13.5s
20:58:34 | INFO | Phase 1+2 (scan): 32.4s
20:58:34 | INFO | Phase 3 (execute stocks): 0.0s
20:58:34 | INFO | Phase 4 (execute crypto): 0.0s
20:58:34 | INFO | Phase 5 (position mgmt): 0.0s
20:58:34 | INFO | Phase 6 (save): 0.0s

      uptrend: 86 days (28.6%)
   Regime distribution:
   Regime distribution:
      uptrend: 103 days (34.2%)
      sideways: 98 days (32.6%)
      downtrend: 82 days (27.2%)
      volatile: 18 days (6.0%)
   Regime distribution:
   Regime distribution:
      sideways: 127 days (42.2%)
      uptrend: 94 days (31.2%)
      downtrend: 80 days (26.6%)
   Regime distribution:
   Regime distribution:
      uptrend: 173 days (57.5%)
      sideways: 113 days (37.5%)
      downtrend: 13 days (4.3%)
      volatile: 2 days (0.7%)
   Regime distribution:
   Regime distribution:
      uptrend: 134 days (44.5%)
      sideways: 104 days (34.6%)
      downtrend: 55 days (18.3%)
      volatile: 8 days (2.7%)
   Regime distribution:
   Regime distribution:
      uptrend: 150 days (49.8%)
      sideways: 92 days (30.6%)
      downtrend: 57 days (18.9%)
      volatile: 2 days (0.7%)
   Regime distribution:
   Regime distribution:
      uptrend: 120 days (39.9%)
      downtrend: 102 days (33.9%)
      sideways: 75 days (24.9%)
      volatile: 4 days (1.3%)
   Regime distribution:
   Regime distribution:
      uptrend: 116 days (38.5%)
      sideways: 105 days (34.9%)
      downtrend: 80 days (26.6%)
   Regime distribution:
   Regime distribution:
      sideways: 122 days (40.5%)
      downtrend: 82 days (27.2%)
      uptrend: 76 days (25.2%)
      volatile: 21 days (7.0%)
   Regime distribution:
   Regime distribution:
      uptrend: 121 days (40.2%)
      sideways: 93 days (30.9%)
      downtrend: 87 days (28.9%)
   Regime distribution:
   Regime distribution:
      downtrend: 106 days (35.2%)
      sideways: 99 days (32.9%)
      uptrend: 76 days (25.2%)
      volatile: 20 days (6.6%)
   Regime distribution:
   Regime distribution:
      downtrend: 156 days (51.8%)
      sideways: 118 days (39.2%)
      uptrend: 27 days (9.0%)
   Regime distribution:
   Regime distribution:
      downtrend: 112 days (37.2%)
      uptrend: 87 days (28.9%)
      sideways: 76 days (25.2%)
      volatile: 26 days (8.6%)
   Regime distribution:
   Regime distribution:
      uptrend: 136 days (45.2%)
      sideways: 81 days (26.9%)
      downtrend: 48 days (15.9%)
      volatile: 36 days (12.0%)
   Regime distribution:
   Regime distribution:
      sideways: 117 days (38.9%)
      uptrend: 76 days (25.2%)
      downtrend: 68 days (22.6%)
      volatile: 40 days (13.3%)
   Regime distribution:
   Regime distribution:
      uptrend: 101 days (33.6%)
      downtrend: 90 days (29.9%)
      sideways: 83 days (27.6%)
      volatile: 27 days (9.0%)

============================================================
PHASE 2: CRYPTO ANALYSIS
============================================================

============================================================
CRYPTO PREDICTION PIPELINE
============================================================

🪙 Fetching data for 3 crypto pairs...
   [1/3] Fetching BTC/USD... ✅ 366 candles
   [2/3] Fetching ETH/USD... ✅ 366 candles
   [3/3] Fetching SOL/USD... ✅ 366 candles

   ✅ Fetched 3/3 pairs
   Regime distribution:
      sideways: 68 days (40.7%)
      downtrend: 54 days (32.3%)
      uptrend: 41 days (24.6%)
      volatile: 4 days (2.4%)

   Training model for BTC/USD...
   BTC/USD validation AUC: 0.397
   ❌ BTC/USD model rejected
   Regime distribution:
      sideways: 69 days (41.3%)
      downtrend: 54 days (32.3%)
      uptrend: 43 days (25.7%)
      volatile: 1 days (0.6%)

   Training model for ETH/USD...
   ETH/USD validation AUC: 0.446
   ❌ ETH/USD model rejected
   Regime distribution:
      sideways: 83 days (49.7%)
      downtrend: 74 days (44.3%)
      uptrend: 7 days (4.2%)
      volatile: 3 days (1.8%)

   Training model for SOL/USD...
   SOL/USD validation AUC: 0.571
   ✅ SOL/USD model accepted
  ⚪ SOL/USD    | pred=0.521 | sideways   | HOLD | $86.11 | ATR proxy $4.31

============================================================
PHASE 3: EXECUTE SIGNALS
============================================================

============================================================
PHASE 4: CRYPTO SIGNALS
============================================================

============================================================
PHASE 5: POSITION MANAGEMENT
============================================================

  No open positions to manage

============================================================
PHASE 6: SAVE DASHBOARD DATA
============================================================
  💾 All data saved (atomic)

============================================================
PHASE 7: PORTFOLIO SUMMARY
============================================================

============================================================
  PAPER TRADING PORTFOLIO
============================================================
  Cash:              $   10,000.00
  Daily P&L:         $       +0.00
  Daily limit:       $      500.00  ✅ Active

  Position Value:    $        0.00
  Total Value:       $   10,000.00
  Total PnL:         $       +0.00 (+0.0%)
  Total Trades:                 0
============================================================

✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅
  ALPHA EDGE V5 SCAN COMPLETE
✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅

  Scanned : 0 stocks + 1 crypto
  Earnings: 3 stocks this week
  Duration: 35.9s
  Models  : XGB + LGB + RF + CatBoost + LSTM per stock

  Dashboard → python run_dashboard.py
             → http://localhost:8050

